City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
bakersfield,california,https://bakersfield.craigslist.org,https://bakersfield.craigslist.org/search/jjj?query=Orthodontist,https://bakersfield.craigslist.org/search/jjj?query=Oral+Surgeon,https://bakersfield.craigslist.org/search/jjj?query=Periodontist,https://bakersfield.craigslist.org/search/jjj?query=Endodontist,https://bakersfield.craigslist.org/search/jjj?query=Pedodontist,https://bakersfield.craigslist.org/search/jjj?query=Dental+Specialist,https://bakersfield.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://bakersfield.craigslist.org/search/jjj?query=Prosthodontist
chico,california,https://chico.craigslist.org,https://chico.craigslist.org/search/jjj?query=Orthodontist,https://chico.craigslist.org/search/jjj?query=Oral+Surgeon,https://chico.craigslist.org/search/jjj?query=Periodontist,https://chico.craigslist.org/search/jjj?query=Endodontist,https://chico.craigslist.org/search/jjj?query=Pedodontist,https://chico.craigslist.org/search/jjj?query=Dental+Specialist,https://chico.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://chico.craigslist.org/search/jjj?query=Prosthodontist
fresno / madera,california,https://fresno.craigslist.org,https://fresno.craigslist.org/search/jjj?query=Orthodontist,https://fresno.craigslist.org/search/jjj?query=Oral+Surgeon,https://fresno.craigslist.org/search/jjj?query=Periodontist,https://fresno.craigslist.org/search/jjj?query=Endodontist,https://fresno.craigslist.org/search/jjj?query=Pedodontist,https://fresno.craigslist.org/search/jjj?query=Dental+Specialist,https://fresno.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://fresno.craigslist.org/search/jjj?query=Prosthodontist
gold country,california,https://goldcountry.craigslist.org,https://goldcountry.craigslist.org/search/jjj?query=Orthodontist,https://goldcountry.craigslist.org/search/jjj?query=Oral+Surgeon,https://goldcountry.craigslist.org/search/jjj?query=Periodontist,https://goldcountry.craigslist.org/search/jjj?query=Endodontist,https://goldcountry.craigslist.org/search/jjj?query=Pedodontist,https://goldcountry.craigslist.org/search/jjj?query=Dental+Specialist,https://goldcountry.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://goldcountry.craigslist.org/search/jjj?query=Prosthodontist
hanford-corcoran,california,https://hanford.craigslist.org,https://hanford.craigslist.org/search/jjj?query=Orthodontist,https://hanford.craigslist.org/search/jjj?query=Oral+Surgeon,https://hanford.craigslist.org/search/jjj?query=Periodontist,https://hanford.craigslist.org/search/jjj?query=Endodontist,https://hanford.craigslist.org/search/jjj?query=Pedodontist,https://hanford.craigslist.org/search/jjj?query=Dental+Specialist,https://hanford.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://hanford.craigslist.org/search/jjj?query=Prosthodontist
humboldt county,california,https://humboldt.craigslist.org,https://humboldt.craigslist.org/search/jjj?query=Orthodontist,https://humboldt.craigslist.org/search/jjj?query=Oral+Surgeon,https://humboldt.craigslist.org/search/jjj?query=Periodontist,https://humboldt.craigslist.org/search/jjj?query=Endodontist,https://humboldt.craigslist.org/search/jjj?query=Pedodontist,https://humboldt.craigslist.org/search/jjj?query=Dental+Specialist,https://humboldt.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://humboldt.craigslist.org/search/jjj?query=Prosthodontist
imperial county,california,https://imperial.craigslist.org,https://imperial.craigslist.org/search/jjj?query=Orthodontist,https://imperial.craigslist.org/search/jjj?query=Oral+Surgeon,https://imperial.craigslist.org/search/jjj?query=Periodontist,https://imperial.craigslist.org/search/jjj?query=Endodontist,https://imperial.craigslist.org/search/jjj?query=Pedodontist,https://imperial.craigslist.org/search/jjj?query=Dental+Specialist,https://imperial.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://imperial.craigslist.org/search/jjj?query=Prosthodontist
inland empire,california,https://inlandempire.craigslist.org,https://inlandempire.craigslist.org/search/jjj?query=Orthodontist,https://inlandempire.craigslist.org/search/jjj?query=Oral+Surgeon,https://inlandempire.craigslist.org/search/jjj?query=Periodontist,https://inlandempire.craigslist.org/search/jjj?query=Endodontist,https://inlandempire.craigslist.org/search/jjj?query=Pedodontist,https://inlandempire.craigslist.org/search/jjj?query=Dental+Specialist,https://inlandempire.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://inlandempire.craigslist.org/search/jjj?query=Prosthodontist
los angeles,california,https://losangeles.craigslist.org,https://losangeles.craigslist.org/search/jjj?query=Orthodontist,https://losangeles.craigslist.org/search/jjj?query=Oral+Surgeon,https://losangeles.craigslist.org/search/jjj?query=Periodontist,https://losangeles.craigslist.org/search/jjj?query=Endodontist,https://losangeles.craigslist.org/search/jjj?query=Pedodontist,https://losangeles.craigslist.org/search/jjj?query=Dental+Specialist,https://losangeles.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://losangeles.craigslist.org/search/jjj?query=Prosthodontist
mendocino county,california,https://mendocino.craigslist.org,https://mendocino.craigslist.org/search/jjj?query=Orthodontist,https://mendocino.craigslist.org/search/jjj?query=Oral+Surgeon,https://mendocino.craigslist.org/search/jjj?query=Periodontist,https://mendocino.craigslist.org/search/jjj?query=Endodontist,https://mendocino.craigslist.org/search/jjj?query=Pedodontist,https://mendocino.craigslist.org/search/jjj?query=Dental+Specialist,https://mendocino.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://mendocino.craigslist.org/search/jjj?query=Prosthodontist
